Performance Report for ClaspAndSpread
Session Time,2025-08-25 08:14:44
Total Duration (s),75.74
Reps Completed,4/4
Overall Average Score,73.45

,Average Score by Repetition
repetition,score
1,78.49980530695429
2,66.78158751860843
3,76.2855825808076
4,72.66893329678518

,Average Score by Step
repetition,step,score
1,1,89.25559235905872
1,2,80.67961212563075
1,3,92.96641851360982
1,4,70.43301421551902
2,1,76.33351428151283
2,3,67.23480409456448
2,4,64.35706558945128
3,1,67.83387715857182
3,3,77.7872550056666
3,5,77.67558918028296
4,1,79.799774706556
4,2,68.16494001697392
4,3,62.085992939019796
