Performance Report for ClaspAndSpread
Session Time,2025-08-23 21:39:13
Total Duration (s),181.50
Reps Completed,4/4
Overall Average Score,64.61

,Average Score by Repetition
repetition,score
1,71.15987472555572
2,62.626367857019666
3,61.82269690708924
4,62.56267384911324

,Average Score by Step
repetition,step,score
1,1,92.95610548394114
1,2,92.56846111293247
1,3,96.10282081072238
1,4,63.16092477840507
1,5,71.80154212173605
2,1,72.65519501766362
2,2,62.994770323631286
2,3,59.03295267187861
2,4,60.20623410076773
2,5,73.00117012095495
3,1,73.71286226040077
3,2,64.8424542669675
3,3,61.37354518568467
3,4,58.163058178455096
3,5,73.65131157392445
4,1,76.02864607405708
4,2,65.41835234681004
4,3,57.24334165961669
4,4,59.32100686653423
4,5,75.77369897005848
