Performance Report for ClaspAndSpread
Session Time,2025-08-23 21:01:01
Total Duration (s),175.27
Reps Completed,4/4
Overall Average Score,87.76

,Average Score by Repetition
repetition,score
1,93.7723237486685
2,91.61180906844008
3,93.08711244959618
4,72.3138275100535

,Average Score by Step
repetition,step,score
1,1,87.39650483582315
1,2,91.35891520639643
1,3,96.34037916294547
1,4,96.92011349620103
1,5,78.5211828746279
2,1,79.50554363468886
2,2,91.61033340556597
2,3,96.02318660618778
2,4,92.45750499301414
2,5,90.76146555043192
3,1,97.40105858434246
3,2,93.94207910574268
3,3,97.0521639085541
3,4,93.00419621280558
3,5,87.73888299960112
4,1,97.3741130924756
4,2,93.68514427780663
4,3,97.07791443502117
4,4,64.20176337698528
4,5,73.6898320384091
