Performance Report for ClaspAndSpread
Session Time,2025-08-23 20:45:32
Total Duration (s),180.04
Reps Completed,4/4
Overall Average Score,77.38

,Average Score by Repetition
repetition,score
1,93.87073430194489
2,82.31798642811248
3,71.36348254009606
4,61.371107540238505

,Average Score by Step
repetition,step,score
1,1,95.09901512786895
1,2,91.34142655289854
1,3,92.484753506919
1,4,94.76708048748364
1,5,90.32260842236235
2,1,97.24625280813387
2,2,91.64256508491245
2,3,94.23261635861256
2,4,79.90480837229667
2,5,73.15590303360224
3,1,86.11751636527418
3,2,84.00055192312011
3,3,94.20275712056113
3,4,64.56828199504864
3,5,77.45595469764632
4,1,85.43102047736403
4,2,69.48913321897246
4,3,57.39778248623149
4,4,56.5121146347788
4,5,73.33541673014741
