Performance Report for ClaspAndSpread
Session Time,2025-08-23 20:54:22
Total Duration (s),175.78
Reps Completed,4/4
Overall Average Score,77.67

,Average Score by Repetition
repetition,score
1,89.98307540594416
2,71.65451909583444
3,55.18970051315516
4,93.36586566677951

,Average Score by Step
repetition,step,score
1,1,94.81271835472587
1,2,92.28490798218932
1,3,95.2350833882213
1,4,88.72421858044846
1,5,88.69343409289355
2,1,97.10020755156653
2,2,93.34785349974732
2,3,95.39045365146136
2,4,63.964809538188
2,5,72.93208822991852
3,1,80.2405160951921
3,2,63.4415626528444
3,3,48.45030231697011
3,4,49.69617063379279
3,5,73.17797665371133
4,1,77.10867532906472
4,2,79.68352712405526
4,3,95.10756808113695
4,4,97.20295564741073
4,5,86.355554769043
